,표준ID,정류장명,ARS-ID,X좌표,Y좌표,epsg5179_x,epsg5179_y
7061,116000583,연지마을,17410,126.8422699,37.48276303,1942817.122,941849.4919
7062,116000584,구로중앙하이츠아파트.화원복지관,17260,126.8799116,37.49827743,1944515.771,945188.8016
7063,116000585,신동아미래지움아파트,17261,126.8801466,37.4998582,1944691.011,945210.7291
7064,116000586,구로역,17259,126.882775,37.50207124,1944935.009,945444.6677
7065,116000587,보성운수기종점,17899,126.892865,37.4902133,1943613.638,946328.0263
7066,116000589,금강수목원아파트,17801,126.8344144,37.48947993,1943567.205,941160.2404
7067,116000590,금강수목원아파트,17704,126.8343074,37.48930496,1943547.86,941150.6439
7068,116000591,동부골든아파트후문,17315,126.8419151,37.49956847,1944681.81,941831.1578
7069,116000592,동삼빌라,17697,126.8239106,37.48726514,1943328.103,940229.8972
7070,116000593,천왕이펜하우스6단지후문,17460,126.8426663,37.47815711,1942305.877,941880.9709
7071,116000594,천왕이펜하우스5단지,17986,126.8406958,37.47959264,1942466.359,941707.8597
7072,116000595,천왕이펜하우스3.4단지,17987,126.8386561,37.48116951,1942642.568,941528.7471
7073,116000596,초롱타운아파트,17262,126.8800117,37.49582924,1944244.1,945195.8606
7074,116000597,연지타운2단지,17399,126.8408111,37.48390818,1942945.072,941721.4061
7075,116000598,연지타운2단지,17397,126.8408329,37.48373069,1942925.367,941723.1956
7076,116000599,쉐라톤서울디큐브시티호텔,17608,126.8895044,37.50841157,1945634.553,946044.0358
